Season,Date,Team,Opponent,Team G,Opp G,Win Loss,Points
2018-19, 8/25/2018 ,Augsburg,Fortuna Dusseldorf,2,1,Win,3
2018-19, 9/1/2018 ,Augsburg,M'gladbach,1,1,Draw,1
2018-19, 9/15/2018 ,Augsburg,Mainz,1,2,Loss,0
2018-19, 9/22/2018 ,Augsburg,Werder Bremen,2,3,Loss,0
2018-19, 9/25/2018 ,Augsburg,Bayern Munich,1,1,Draw,1
2018-19, 9/30/2018 ,Augsburg,Freiburg,4,1,Win,3
2018-19, 10/6/2018 ,Augsburg,Dortmund,3,4,Loss,0
2018-19, 10/20/2018 ,Augsburg,RB Leipzig,0,0,Draw,1
2018-19, 10/27/2018 ,Augsburg,Hannover,2,1,Win,3
2018-19, 11/3/2018 ,Augsburg,Nurnberg,2,2,Draw,1
2018-19, 11/10/2018 ,Augsburg,Hoffenheim,1,2,Loss,0
2018-19, 11/24/2018 ,Augsburg,Ein Frankfurt,1,3,Loss,0
2018-19, 12/1/2018 ,Augsburg,Stuttgart,0,1,Loss,0
2018-19, 12/8/2018 ,Augsburg,Leverkusen,0,1,Loss,0
2018-19, 12/15/2018 ,Augsburg,Schalke 04,1,1,Draw,1
2018-19, 12/18/2018 ,Augsburg,Hertha,2,2,Draw,1
2018-19, 12/23/2018 ,Augsburg,Wolfsburg,2,3,Loss,0
2018-19, 1/19/2019 ,Augsburg,Fortuna Dusseldorf,1,2,Loss,0
2018-19, 1/26/2019 ,Augsburg,M'gladbach,0,2,Loss,0
2018-19, 2/3/2019 ,Augsburg,Mainz,3,0,Win,3
2018-19, 2/10/2019 ,Augsburg,Werder Bremen,0,4,Loss,0
2018-19, 2/15/2019 ,Augsburg,Bayern Munich,2,3,Loss,0
2018-19, 2/23/2019 ,Augsburg,Freiburg,1,5,Loss,0
2018-19, 3/1/2019 ,Augsburg,Dortmund,2,1,Win,3
2018-19, 3/9/2019 ,Augsburg,RB Leipzig,0,0,Draw,1
2018-19, 3/16/2019 ,Augsburg,Hannover,3,1,Win,3
2018-19, 3/30/2019 ,Augsburg,Nurnberg,0,3,Loss,0
2018-19, 4/7/2019 ,Augsburg,Hoffenheim,0,4,Loss,0
2018-19, 4/14/2019 ,Augsburg,Ein Frankfurt,3,1,Win,3
2018-19, 4/20/2019 ,Augsburg,Stuttgart,6,0,Win,3
2018-19, 4/26/2019 ,Augsburg,Leverkusen,1,4,Loss,0
2018-19, 5/5/2019 ,Augsburg,Schalke 04,0,0,Draw,1
2018-19, 5/11/2019 ,Augsburg,Hertha,3,4,Loss,0
2018-19, 8/24/2018 ,Bayern Munich,Hoffenheim,3,1,Win,3
2018-19, 9/1/2018 ,Bayern Munich,Stuttgart,3,0,Win,3
2018-19, 9/15/2018 ,Bayern Munich,Leverkusen,3,1,Win,3
2018-19, 9/22/2018 ,Bayern Munich,Schalke 04,2,0,Win,3
2018-19, 9/25/2018 ,Bayern Munich,Augsburg,1,1,Draw,1
2018-19, 9/28/2018 ,Bayern Munich,Hertha,0,2,Loss,0
2018-19, 10/6/2018 ,Bayern Munich,M'gladbach,0,3,Loss,0
2018-19, 10/20/2018 ,Bayern Munich,Wolfsburg,3,1,Win,3
2018-19, 10/27/2018 ,Bayern Munich,Mainz,2,1,Win,3
2018-19, 11/3/2018 ,Bayern Munich,Freiburg,1,1,Draw,1
2018-19, 11/10/2018 ,Bayern Munich,Dortmund,2,3,Loss,0
2018-19, 11/24/2018 ,Bayern Munich,Fortuna Dusseldorf,3,3,Draw,1
2018-19, 12/1/2018 ,Bayern Munich,Werder Bremen,2,1,Win,3
2018-19, 12/8/2018 ,Bayern Munich,Nurnberg,3,0,Win,3
2018-19, 12/15/2018 ,Bayern Munich,Hannover,4,0,Win,3
2018-19, 12/19/2018 ,Bayern Munich,RB Leipzig,1,0,Win,3
2018-19, 12/22/2018 ,Bayern Munich,Ein Frankfurt,3,0,Win,3
2018-19, 1/18/2019 ,Bayern Munich,Hoffenheim,3,1,Win,3
2018-19, 1/27/2019 ,Bayern Munich,Stuttgart,4,1,Win,3
2018-19, 2/2/2019 ,Bayern Munich,Leverkusen,1,3,Loss,0
2018-19, 2/9/2019 ,Bayern Munich,Schalke 04,3,1,Win,3
2018-19, 2/15/2019 ,Bayern Munich,Augsburg,3,2,Win,3
2018-19, 2/23/2019 ,Bayern Munich,Hertha,1,0,Win,3
2018-19, 3/2/2019 ,Bayern Munich,M'gladbach,5,1,Win,3
2018-19, 3/9/2019 ,Bayern Munich,Wolfsburg,6,0,Win,3
2018-19, 3/17/2019 ,Bayern Munich,Mainz,6,0,Win,3
2018-19, 3/30/2019 ,Bayern Munich,Freiburg,1,1,Draw,1
2018-19, 4/6/2019 ,Bayern Munich,Dortmund,5,0,Win,3
2018-19, 4/14/2019 ,Bayern Munich,Fortuna Dusseldorf,4,1,Win,3
2018-19, 4/20/2019 ,Bayern Munich,Werder Bremen,1,0,Win,3
2018-19, 4/28/2019 ,Bayern Munich,Nurnberg,1,1,Draw,1
2018-19, 5/4/2019 ,Bayern Munich,Hannover,3,1,Win,3
2018-19, 5/11/2019 ,Bayern Munich,RB Leipzig,0,0,Draw,1
2018-19, 8/26/2018 ,Dortmund,RB Leipzig,4,1,Win,3
2018-19, 8/31/2018 ,Dortmund,Hannover,0,0,Draw,1
2018-19, 9/14/2018 ,Dortmund,Ein Frankfurt,3,1,Win,3
2018-19, 9/22/2018 ,Dortmund,Hoffenheim,1,1,Draw,1
2018-19, 9/26/2018 ,Dortmund,Nurnberg,7,0,Win,3
2018-19, 9/29/2018 ,Dortmund,Leverkusen,4,2,Win,3
2018-19, 10/6/2018 ,Dortmund,Augsburg,4,3,Win,3
2018-19, 10/20/2018 ,Dortmund,Stuttgart,4,0,Win,3
2018-19, 10/27/2018 ,Dortmund,Hertha,2,2,Draw,1
2018-19, 11/3/2018 ,Dortmund,Wolfsburg,1,0,Win,3
2018-19, 11/10/2018 ,Dortmund,Bayern Munich,3,2,Win,3
2018-19, 11/24/2018 ,Dortmund,Mainz,2,1,Win,3
2018-19, 12/1/2018 ,Dortmund,Freiburg,2,0,Win,3
2018-19, 12/8/2018 ,Dortmund,Schalke 04,2,1,Win,3
2018-19, 12/15/2018 ,Dortmund,Werder Bremen,2,1,Win,3
2018-19, 12/18/2018 ,Dortmund,Fortuna Dusseldorf,1,2,Loss,0
2018-19, 12/21/2018 ,Dortmund,M'gladbach,2,1,Win,3
2018-19, 1/19/2019 ,Dortmund,RB Leipzig,1,0,Win,3
2018-19, 1/26/2019 ,Dortmund,Hannover,5,1,Win,3
2018-19, 2/2/2019 ,Dortmund,Ein Frankfurt,1,1,Draw,1
2018-19, 2/9/2019 ,Dortmund,Hoffenheim,3,3,Draw,1
2018-19, 2/18/2019 ,Dortmund,Nurnberg,0,0,Draw,1
2018-19, 2/24/2019 ,Dortmund,Leverkusen,3,2,Win,3
2018-19, 3/1/2019 ,Dortmund,Augsburg,1,2,Loss,0
2018-19, 3/9/2019 ,Dortmund,Stuttgart,3,1,Win,3
2018-19, 3/16/2019 ,Dortmund,Hertha,3,2,Win,3
2018-19, 3/30/2019 ,Dortmund,Wolfsburg,2,0,Win,3
2018-19, 4/6/2019 ,Dortmund,Bayern Munich,0,5,Loss,0
2018-19, 4/13/2019 ,Dortmund,Mainz,2,1,Win,3
2018-19, 4/21/2019 ,Dortmund,Freiburg,4,0,Win,3
2018-19, 4/27/2019 ,Dortmund,Schalke 04,2,4,Loss,0
2018-19, 5/4/2019 ,Dortmund,Werder Bremen,2,2,Draw,1
2018-19, 5/11/2019 ,Dortmund,Fortuna Dusseldorf,3,2,Win,3
2018-19, 8/25/2018 ,Ein Frankfurt,Freiburg,2,0,Win,3
2018-19, 9/1/2018 ,Ein Frankfurt,Werder Bremen,1,2,Loss,0
2018-19, 9/14/2018 ,Ein Frankfurt,Dortmund,1,3,Loss,0
2018-19, 9/23/2018 ,Ein Frankfurt,RB Leipzig,1,1,Draw,1
2018-19, 9/26/2018 ,Ein Frankfurt,M'gladbach,1,3,Loss,0
2018-19, 9/30/2018 ,Ein Frankfurt,Hannover,4,1,Win,3
2018-19, 10/7/2018 ,Ein Frankfurt,Hoffenheim,2,1,Win,3
2018-19, 10/19/2018 ,Ein Frankfurt,Fortuna Dusseldorf,7,1,Win,3
2018-19, 10/28/2018 ,Ein Frankfurt,Nurnberg,1,1,Draw,1
2018-19, 11/2/2018 ,Ein Frankfurt,Stuttgart,3,0,Win,3
2018-19, 11/11/2018 ,Ein Frankfurt,Schalke 04,3,0,Win,3
2018-19, 11/24/2018 ,Ein Frankfurt,Augsburg,3,1,Win,3
2018-19, 12/2/2018 ,Ein Frankfurt,Wolfsburg,1,2,Loss,0
2018-19, 12/8/2018 ,Ein Frankfurt,Hertha,0,1,Loss,0
2018-19, 12/16/2018 ,Ein Frankfurt,Leverkusen,2,1,Win,3
2018-19, 12/19/2018 ,Ein Frankfurt,Mainz,2,2,Draw,1
